True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,2032,6.848484848,0.847457627,3.523809524,0.166666667,5.043478261,6.775510204,5.829268293,1.5,0.36809816,95.48927276
,2033,8.151515152,0.254237288,1.666666667,2.666666667,2.217391304,6.306122449,8.56097561,0.5,0.552147239,48.17008354
,2034,8.787878788,0.169491525,1.619047619,2.333333333,1.782608696,6.183673469,8.146341463,0.5,0.306748466,55.48923872
,2035,8.515151515,0.169491525,1.642857143,2.166666667,1.52173913,6.346938776,8.487804878,1,0.36809816,58.21264528
,2036,8.424242424,0.169491525,1.5,2,1.869565217,6.224489796,8.829268293,0.5,0.36809816,76.42542674
,2037,8.121212121,0.169491525,1.80952381,2.666666667,1.608695652,6.469387755,8.56097561,0.5,0.36809816,62.46796806
,2038,7.606060606,0.593220339,2.523809524,0.666666667,3.826086957,6.591836735,7.073170732,1,0.490797546,119.4892932
,2039,5.181818182,1.271186441,5.261904762,0.333333333,5.260869565,7.265306122,4.756097561,0.5,0.797546012,106.553112
,2040,7.484848485,0.677966102,2.619047619,0.333333333,3.913043478,6.795918367,6.804878049,1,0.36809816,93.27650492
,2041,6.424242424,0.762711864,3.785714286,0.333333333,4.652173913,7.285714286,5.707317073,0.5,0.306748466,95.31905984
,2042,7.606060606,0.593220339,2.523809524,0.666666667,3.826086957,6.591836735,7.073170732,1,0.490797546,86.8084143
,2043,6.272727273,1.610169492,4.261904762,0.166666667,6.391304348,6.020408163,5.219512195,2.5,0.613496933,82.72330444
,2044,7.212121212,0.762711864,3.428571429,0.333333333,4.608695652,6.775510204,5.585365854,1.5,0.613496933,107.0637507
,2045,6.818181818,1.016949153,4,0.166666667,5,6.510204082,5.317073171,1.5,0.613496933,122.0424868
,2046,5.454545455,1.186440678,5.380952381,0.666666667,5.173913043,7.163265306,4.292682927,1.5,0.736196319,109.2765185
,2047,5.303030303,1.271186441,5.047619048,0.666666667,5.347826087,7.040816327,5.073170732,1.5,0.613496933,110.4680089
,2048,5.606060606,1.355932203,5.166666667,0.333333333,5.47826087,6.959183673,4.463414634,1.5,0.552147239,133.276539
,2049,6.575757576,0.847457627,4.023809524,0.166666667,5.217391304,6.632653061,5.487804878,1.5,0.736196319,101.2765117
,2050,5.96969697,1.016949153,4.380952381,0.333333333,5.217391304,7.020408163,5.341463415,1,0.490797546,123.744616
,2051,7.848484848,0.423728814,2.595238095,0.666666667,4.347826087,5.897959184,7.219512195,2,0.245398773,56.17009036
,2052,8.636363636,0.254237288,1.666666667,1,1.913043478,6.653061224,7.87804878,1,0.245398773,41.36156712
,2053,6.96969697,0.593220339,2.976190476,1.666666667,3.47826087,7.081632653,6.780487805,1,0.490797546,88.85096924
,2054,8.363636364,0.254237288,1.785714286,2,1.565217391,6.775510204,7.926829268,0.5,0.613496933,74.38287182
,2055,8.393939394,0.254237288,1.69047619,0.833333333,2,6.693877551,8.195121951,0.5,0.36809816,65.36158754
,2056,7.818181818,0.847457627,2.238095238,0.666666667,7.086956522,5.448979592,6.463414634,3,0.36809816,26.04240514
,2057,7.96969697,0.677966102,1.857142857,0.833333333,6.434782609,5.87755102,6.707317073,3.5,0.429447853,17.19133378
,2058,8.363636364,0.508474576,1.833333333,0.5,7.304347826,4.469387755,7.414634146,4,0.674846626,23.8296373
,2059,7.818181818,0.847457627,2.238095238,0.666666667,7.086956522,5.448979592,6.463414634,3,0.36809816,26.04240514
,2060,7.96969697,0.677966102,1.857142857,0.833333333,6.434782609,5.87755102,6.707317073,3.5,0.429447853,17.19133378
,2061,8.333333333,0.508474576,1.833333333,0.5,7.304347826,4.469387755,7.390243902,4,0.674846626,23.8296373
