True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*,Predict_SVC,pro_SVC,predict_pro_SVC
0,1988,6.242424242,0.423728814,4.6428571430000005,1.166666667,3.956521739,6.306122449,6.170731707000001,1.0,0.7975460120000001,106.72332490000001,1.0,0.929804449273857,1
0,1989,6.272727272999999,0.423728814,4.7380952380000005,1.166666667,3.956521739,6.142857143,6.195121951,0.5,1.042944785,106.72332490000001,1.0,0.9437923729663226,1
0,1990,6.424242424,0.508474576,4.5,1.0,4.043478261000001,6.142857143,6.268292682999999,1.0,0.920245399,104.3403441,1.0,0.9037597829980608,1
0,1991,6.393939393999999,0.508474576,4.380952381,1.0,3.869565217,6.265306122,6.365853659,1.5,0.920245399,88.1701176,-100.0,0.38365387435885734,-100
0,1992,6.454545455,0.33898305100000004,4.2619047619999995,1.0,4.0,6.285714286,6.43902439,2.0,0.920245399,99.40416970000001,-100.0,0.6940586842389688,1
0,1993,6.454545455,0.423728814,4.3571428569999995,1.0,3.6956521739999997,6.448979592000001,6.268292682999999,2.0,0.736196319,91.4041629,-100.0,0.4140193245199541,-100
0,1994,5.181818182,0.93220339,6.476190476,0.166666667,6.2173913039999995,6.469387755,3.341463415,3.0,1.165644172,168.8510373,1.0,0.993640608809875,1
0,1995,4.666666667,0.93220339,6.785714286,0.166666667,6.086956522,6.571428571,3.7317073169999997,2.0,1.288343558,179.9148765,1.0,0.9999955746625319,1
0,1996,4.272727273,1.101694915,6.928571429,0.166666667,6.565217391,6.571428571,3.8048780489999996,2.5,1.104294479,180.7659411,1.0,0.9999952004024347,1
0,1997,5.303030303,0.847457627,6.142857143,0.166666667,6.043478261000001,6.367346939,4.048780488,2.5,1.042944785,134.8084552,1.0,0.8556986742909287,1
0,1998,5.393939393999999,1.0169491529999999,5.785714286,0.166666667,5.608695652000001,6.4897959179999996,4.341463415,3.5,0.9815950920000001,158.8084756,1.0,0.9689223717185734,1
0,1999,5.454545455,1.0169491529999999,5.761904762,0.166666667,5.956521738999999,6.693877551,3.926829268,3.0,0.7975460120000001,90.55309834,-100.0,0.4048288843803056,-100
0,2000,5.303030303,1.0169491529999999,6.047619048,0.166666667,5.608695652000001,6.1836734689999995,4.56097561,2.5,0.6748466259999999,148.7659138,1.0,0.8812557834478626,1
0,2001,6.515151515,0.762711864,4.714285714,2.166666667,3.869565217,6.551020407999999,4.975609756,2.0,0.736196319,94.12756948,1.0,0.925846971326193,1
0,2002,7.090909091,2.033898305,2.5,0.166666667,6.565217391,6.163265306,5.975609756,3.0,1.104294479,46.46795444,1.0,0.8078172201193267,1
0,2003,5.878787879,1.694915254,3.857142857,0.666666667,4.739130435,7.346938776,5.585365854,2.5,1.042944785,54.63817416,-100.0,0.11837165561774966,-100
0,2004,8.787878787999999,0.93220339,1.214285714,0.166666667,7.6521739129999995,6.12244898,4.975609756,6.0,1.9631901840000001,37.9573089,1.0,0.9293912961946114,1
0,2005,8.666666667000001,1.0169491529999999,1.2380952379999999,0.166666667,7.304347826,6.163265306,5.365853659,5.5,1.472392638,33.02113448,1.0,0.8492317944566845,1
0,2006,6.121212121,1.86440678,3.952380952,1.0,4.695652174,7.346938776,5.0,2.5,0.858895706,47.99987064,-100.0,0.3377265681861428,-100
0,2007,6.424242424,1.6101694919999998,3.928571429,0.833333333,4.2173913039999995,7.224489796,5.12195122,3.0,0.736196319,34.8934765,-100.0,0.2576124992173537,-100
