True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,2063,1.928 ,0.010 ,0.095 ,0.005 ,0.229 ,0.792 ,0.942 ,0.005 ,0.013 ,60
,2064,1.923 ,0.013 ,0.106 ,0.005 ,0.232 ,0.789 ,0.922 ,0.009 ,0.017 ,58
,2065,1.929 ,0.014 ,0.094 ,0.003 ,0.294 ,0.765 ,0.888 ,0.009 ,0.021 ,145
,2066,1.935 ,0.010 ,0.091 ,0.004 ,0.221 ,0.800 ,0.931 ,0.007 ,0.013 ,95
,2067,1.924 ,0.013 ,0.090 ,0.003 ,0.285 ,0.752 ,0.929 ,0.007 ,0.021 ,109
,2068,1.937 ,0.008 ,0.098 ,0.005 ,0.221 ,0.784 ,0.937 ,0.007 ,0.016 ,125
,2069,1.933 ,0.010 ,0.090 ,0.004 ,0.214 ,0.819 ,0.927 ,0.006 ,0.013 ,189
,2070,1.931 ,0.013 ,0.091 ,0.002 ,0.290 ,0.769 ,0.893 ,0.010 ,0.016 ,145
,2071,1.927 ,0.009 ,0.094 ,0.005 ,0.225 ,0.797 ,0.941 ,0.007 ,0.016 ,53
,2072,1.945 ,0.009 ,0.075 ,0.004 ,0.225 ,0.780 ,0.952 ,0.009 ,0.015 ,60
,2073,1.935 ,0.009 ,0.088 ,0.003 ,0.219 ,0.803 ,0.934 ,0.007 ,0.018 ,96
,2074,1.927 ,0.010 ,0.092 ,0.005 ,0.224 ,0.798 ,0.941 ,0.007 ,0.017 ,121
,2075,1.944 ,0.011 ,0.076 ,0.003 ,0.273 ,0.766 ,0.915 ,0.008 ,0.013 ,30
,2076,1.924 ,0.011 ,0.092 ,0.004 ,0.233 ,0.823 ,0.915 ,0.005 ,0.015 ,29
,2077,1.926 ,0.012 ,0.100 ,0.004 ,0.285 ,0.768 ,0.895 ,0.009 ,0.020 ,12
,2078,1.932 ,0.013 ,0.091 ,0.004 ,0.289 ,0.764 ,0.891 ,0.010 ,0.018 ,41
