True value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
1,336,7.514645606,2.205400593,2.186072214,2.292121167,5.879005217,5.894038449,6.021705854,2.3304865,0.682009632,15.9998434
1,337,7.358961697,1.686068644,3.155852214,1.780545,5.502086348,5.079453816,6.268572561,2.813896,1.115732883,11.2338819
1,338,7.453160424,1.620315254,3.150353857,3.773813,4.806961348,5.308022449,5.877671707,1.725986,1.205599939,15.31899176
1,339,7.552312848,1.717879576,2.56302881,2.011597333,5.818106435,5.053115878,6.729407244,1.896056,0.958683313,14.46792721
1,340,7.814217909,1.785665508,2.551817286,2.737336,6.451201261,4.498501327,6.431223293,2.9064005,0.726656442,14.63814012
1,341,7.400113455,2.39808822,2.361313,2.774443333,6.255809739,5.47025802,5.993989927,2.441939,0.760882086,21.10623072
1,342,6.948295,2.522164237,3.128347095,2.191921333,6.142803609,5.086837612,6.06790722,2.3064265,1.060088037,9.872178614
1,343,7.681169727,1.399834068,2.45177331,4.898984833,5.072849739,4.581334755,7.168711659,2.981817,0.970843129,15.82963049
1,344,7.644640545,1.928549322,2.485548405,1.162631,5.955329696,5.29606551,6.432402341,1.9154395,0.778842025,13.95728847
1,345,7.091136152,2.355904237,3.36315,0.951142333,7.009977304,4.829099796,5.567816195,3.624226,1.23468227,15.65941758
1,346,7.494077909,1.993176186,2.864361619,3.980077667,5.251582652,5.249085714,5.867492927,2.408256,0.760870675,15.65941758
1,347,7.38637603,2.13098161,2.579327619,4.071307,5.678231391,5.151644939,6.317492268,1.4415805,0.691821656,10.89345608
1,348,8.024660152,1.710170085,2.023729167,5.710079833,5.581062957,4.854927429,6.46372178,2.5232185,0.283661227,11.40409481
1,349,7.106083758,1.395043559,2.969595619,2.64225,7.303494217,1.790983469,9.857353976,2.263532,1.263010491,2.72323636
1,350,7.413227758,1.455739831,2.730256714,2.780777,6.127960522,4.082258143,7.618880366,2.0817345,1.144421718,5.106217112
1,351,7.261709576,1.398655339,3.034024381,2.0057355,6.188890652,3.993708306,7.651145976,2.018412,1.25812816,11.06366899
1,352,7.208454364,1.895120169,2.277118429,1.3493225,8.639157652,4.245475245,7.219770439,1.214276,0.76647319,16.51048214
1,353,7.450602061,1.462609576,2.846653714,2.0999135,5.645091348,4.011503571,7.900290829,1.161471,1.272224417,27.40410842
1,354,7.592143333,1.484122881,2.420650024,2.212576833,5.794823304,4.583621592,7.723227195,0.722107,0.368610061,22.80835984
1,355,7.144340788,2.235684322,2.708438643,2.003935833,7.098612957,4.948073041,6.363879268,0.0316492,0.961751595,20.42537908
1,356,6.640952333,2.528197034,3.882940333,1.607634667,6.526578522,5.051268878,5.347889854,1.8903335,1.198786748,7.659410774
1,357,7.305002818,1.527710424,2.751230048,1.612029833,6.176753348,5.579656469,6.186475049,2.5273355,0.897109693,12.7657981
1,358,7.674578788,1.546221441,2.615833048,0.886846833,7.51415387,4.302808735,6.705513122,2.8660585,0.906324969,6.80834622
1,359,7.298305121,1.637542288,2.796400881,2.186805333,6.175991609,5.325759531,6.33791422,2.3480385,0.460218098,7.829623684
1,360,7.779412394,2.193311525,2.451915,0.3882685,7.575104087,4.684374286,6.01585778,3.0328435,0.96367816,6.63813331
1,361,6.472614788,2.375662881,3.722171524,2.345383,6.047521478,5.424173939,5.552815805,3.0722195,1.220751411,5.446642934
1,362,6.662917273,2.251031271,3.51594431,1.9673425,6.47074113,5.319360286,5.677336268,2.456306,1.012693252,10.55303026
1,363,6.907499,1.564873051,3.338941143,8.286125333,7.253372043,2.795295122,7.110862902,2.9555775,1.041974417,13.61686265
1,364,6.972882424,1.82819339,3.924447667,2.771389,6.679327478,3.771120592,6.304424049,2.2151,1.305603067,12.7657981
1,365,7.776748848,2.090937119,2.191576571,1.800579167,6.186792304,5.925990082,5.515243927,3.0990665,0.689699693,12.25515937
1,366,6.778832273,1.554893644,4.052059619,1.650064333,6.258348391,4.870801653,5.710465537,2.6989905,1.365997853,14.97856594
1,367,6.525169182,2.28844,3.924293357,0.964500833,7.24193887,4.460843837,6.030727878,2.974006,1.05114908,11.57430772
1,368,7.739027576,1.891296102,2.565563238,1.083351167,6.114687957,5.044602429,6.344698561,2.7357575,0.893429448,12.25515937
1,369,6.673799061,2.473109492,3.561672667,1.259371333,6.276900435,5.354399102,5.627513341,2.9293905,1.180744356,12.42537228
1,370,7.469804061,1.790352288,2.734163952,1.756093333,5.997181478,5.025045673,6.540731293,2.36081,0.874777178,12.7657981
